Team #,Match #,Scouter Initials,Team Number,Match Number,Robot,Starting Location,No Show,Taxied?,Upper Cargo Scored,Upper Cargo Missed,Lower Cargo Scored,Upper Cargo Scored,Lower Cargo Scored,Defended?,Climb,Started Climb With Time Remaining,Played Defense for Match %,Defense Rating,Disabled for Match %,Comments,,,,,,,,,,,,
8726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,1,Ed,836,1,r1,undefined,FALSE,TRUE,2,0,0,10,0,FALSE,3,22,0,x,0,Full size robot. Shot well. High climb night be limit.,,,,,,,,,,,,
2363,1,CM,2363,1,r3,undefined,FALSE,TRUE,5,0,0,15,0,FALSE,2,null,,x,0,undefined,,,,,,,,,,,,
4638,1,elp,4638,1,b1,undefined,FALSE,TRUE,1,0,0,1,0,FALSE,3,5,0,x,0,rough start for scouting,,,,,,,,,,,,
8230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3748,1,DD,3748,1,b3,undefined,FALSE,TRUE,0,0,0,0,9,FALSE,2,10,0,x,0,"Can only shoot low, doesn't even shoot accurately",,,,,,,,,,,,
623,2,Ed,623,2,r1,undefined,FALSE,TRUE,1,1,0,5,0,TRUE,4,35,0,x,0,,,,,,,,,,,,,
4821,2,AC,4821,2,r2,undefined,FALSE,TRUE,2,0,0,7,0,FALSE,x,null,0,x,15,undefined,,,,,,,,,,,,
5587,2,DD,5587,2,r3,middle,FALSE,TRUE,3,0,0,10,0,FALSE,f,15,1,n,0,"Very aggressive, shot 3 balls in one go for auto, wicked shooter",,,,,,,,,,,,
6194,2,IB,6194,2,b1,right,FALSE,TRUE,0,0,4,3,5,FALSE,2,,0,x,0,"I’m new to this, info may be inaccurate",,,,,,,,,,,,
686,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,2,Cm,1610,2,b3,undefined,FALSE,TRUE,1,0,0,3,10,FALSE,2,25,0,x,0,undefined,,,,,,,,,,,,
3939,3,Ed,3939,3,r1,undefined,FALSE,TRUE,2,0,0,7,0,FALSE,f,30,0,x,0,Only shoots from hub.slow intake,,,,,,,,,,,,
1719,3,AC,1719,3,r2,undefined,FALSE,TRUE,0,0,0,0,0,FALSE,x,null,0,x,0,Squib shots and bounce outs as well as missing high goals,,,,,,,,,,,,
2068,3,IB,2068,3,r3,undefined,FALSE,TRUE,3,0,0,3,0,FALSE,2,,0,x,0,undefined,,,,,,,,,,,,
1908,3,DD,1908,3,b1,undefined,FALSE,TRUE,2,0,0,6,2,FALSE,2,3,0,x,0,Not as good as last competition,,,,,,,,,,,,
4099,3,elp,4099,3,b2,right,FALSE,FALSE,3,0,0,8,0,FALSE,4,null,0,x,0,"mobile, good auto",,,,,,,,,,,,
2186,3,Cm,2186,3,b3,middle,FALSE,TRUE,0,0,0,0,0,FALSE,x,,0,x,90,Looked like thier drive train wasn't working the best,,,,,,,,,,,,
2377,4,Ed,2377,4,r1,undefined,FALSE,TRUE,2,0,0,6,0,FALSE,x,null,0,x,0,Was stuck for 20 seconds. Slow intake accurate shooter,,,,,,,,,,,,
